step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
380.0,CASH_OUT,92888.94,C2054348498,27657.0,0.0,C1853199806,5838781.76,5931670.7,0.0,0.0
646.0,TRANSFER,399045.08,C724693370,10399045.08,10399045.08,C1909486199,0.0,0.0,1.0,1.0
384.0,CASH_IN,35416.73,C1095508813,1154711.52,1190128.25,C961243143,927932.7,892515.97,0.0,0.0
518.0,CASH_IN,52211.31,C1867780533,2985.0,55196.31,C1425168473,433652.93,381441.62,0.0,0.0
450.0,CASH_OUT,1463764.35,C2142422300,1463764.35,0.0,C1173885211,385211.95,1848976.3,1.0,0.0
238.0,CASH_OUT,123587.81,C797625957,0.0,0.0,C464043920,567168.74,690756.55,0.0,0.0
198.0,TRANSFER,18471.55,C1786346447,18471.55,0.0,C768834848,0.0,0.0,1.0,0.0
369.0,PAYMENT,30309.68,C179916450,397042.02,366732.35,M372092182,0.0,0.0,0.0,0.0
139.0,CASH_IN,37435.23,C1993849598,7135802.8,7173238.03,C582038120,1048345.5,1010910.28,0.0,0.0
203.0,PAYMENT,5179.32,C509592568,10010.0,4830.68,M1651876424,0.0,0.0,0.0,0.0
42.0,TRANSFER,334276.08,C1374233613,334276.08,0.0,C443044241,0.0,0.0,1.0,0.0
18.0,CASH_OUT,138353.48,C1171822556,11508.0,0.0,C653955598,527016.24,821186.35,0.0,0.0
359.0,PAYMENT,13075.53,C112093516,14225.0,1149.47,M1915946405,0.0,0.0,0.0,0.0
44.0,CASH_IN,237292.21,C1355308179,20070.0,257362.21,C436595683,2138140.94,1900848.73,0.0,0.0
254.0,TRANSFER,197221.42,C1733471985,0.0,0.0,C313960377,1375405.08,1572626.5,0.0,0.0
501.0,TRANSFER,824841.09,C201944143,824841.09,0.0,C167433721,0.0,0.0,1.0,0.0
661.0,PAYMENT,7313.77,C95884227,225.0,0.0,M1213437950,0.0,0.0,0.0,0.0
316.0,TRANSFER,1825908.12,C1739433736,1825908.12,0.0,C988790876,0.0,0.0,1.0,0.0
147.0,CASH_OUT,522343.83,C1605191910,522343.83,0.0,C201338913,3135268.16,3657611.99,1.0,0.0
470.0,CASH_OUT,864994.24,C676427076,864994.24,0.0,C1523524779,266074.0,1028020.38,1.0,0.0
502.0,CASH_OUT,669536.75,C776030932,669536.75,0.0,C407092830,178669.97,848206.72,1.0,0.0
330.0,CASH_OUT,13794.32,C1411993728,0.0,0.0,C794367823,343258.05,357052.37,0.0,0.0
136.0,CASH_IN,54643.71,C1625176817,19706053.06,19760696.77,C1700524560,2307797.14,2253153.43,0.0,0.0
15.0,CASH_OUT,339253.56,C385818111,236951.98,0.0,C535207421,462299.97,801553.52,0.0,0.0
391.0,TRANSFER,495773.64,C1248328274,495773.64,0.0,C917413885,0.0,0.0,1.0,0.0
428.0,TRANSFER,140444.59,C1399157335,30119.0,0.0,C1700841004,0.0,140444.59,0.0,0.0
259.0,PAYMENT,12397.44,C1097727740,35957.0,23559.56,M557941636,0.0,0.0,0.0,0.0
161.0,PAYMENT,6818.81,C78871285,30825.0,24006.19,M368179311,0.0,0.0,0.0,0.0
487.0,CASH_OUT,321307.31,C28062325,321307.31,0.0,C2067322767,716857.2,1038164.5,1.0,0.0
629.0,TRANSFER,1051018.15,C1597001558,1051018.15,0.0,C1628780736,0.0,0.0,1.0,0.0
62.0,CASH_OUT,407833.62,C162879753,407833.62,0.0,C1818870755,0.0,407833.62,1.0,0.0
134.0,PAYMENT,14363.04,C595513069,2984.0,0.0,M2118759530,0.0,0.0,0.0,0.0
17.0,PAYMENT,49375.36,C320133372,19847.0,0.0,M766312394,0.0,0.0,0.0,0.0
406.0,PAYMENT,9899.77,C552166621,0.0,0.0,M1887370316,0.0,0.0,0.0,0.0
193.0,CASH_OUT,103368.58,C225886337,103368.58,0.0,C1347548584,0.0,103368.58,1.0,0.0
227.0,CASH_IN,456631.19,C2146625278,51549.0,508180.19,C450881675,3884553.5,3427922.31,0.0,0.0
376.0,PAYMENT,10268.94,C1023040061,310672.2,300403.26,M1432916445,0.0,0.0,0.0,0.0
299.0,CASH_OUT,1158358.08,C740548252,1158358.08,0.0,C1317682776,0.0,1158358.08,1.0,0.0
322.0,TRANSFER,135845.3,C84275859,135845.3,0.0,C2031100289,0.0,0.0,1.0,0.0
194.0,TRANSFER,1501297.88,C1043170433,1501297.88,0.0,C768896772,0.0,0.0,1.0,0.0
383.0,PAYMENT,8212.39,C1619038339,88230.0,80017.61,M1362674713,0.0,0.0,0.0,0.0
133.0,PAYMENT,9464.09,C647173302,40323.39,30859.3,M2117804472,0.0,0.0,0.0,0.0
285.0,CASH_OUT,6249265.86,C435417424,6249265.86,0.0,C1577595866,0.0,6249265.86,1.0,0.0
726.0,TRANSFER,54584.29,C181783158,54584.29,0.0,C1857371794,0.0,0.0,1.0,0.0
44.0,PAYMENT,51570.03,C279089366,0.0,0.0,M1820890188,0.0,0.0,0.0,0.0
302.0,CASH_OUT,140975.8,C1278086005,0.0,0.0,C239132036,419539.8,560515.6,0.0,0.0
523.0,TRANSFER,5999376.79,C1206710867,5999376.79,0.0,C2020321619,0.0,0.0,1.0,0.0
280.0,CASH_OUT,208241.83,C1922441317,177888.0,0.0,C882629398,2910532.56,3118774.39,0.0,0.0
149.0,CASH_OUT,861406.83,C244418902,861406.83,0.0,C1872196255,8283871.29,9145278.12,1.0,0.0
520.0,CASH_OUT,2871898.5,C381354324,2871898.5,0.0,C825395175,0.0,2871898.5,1.0,0.0
371.0,CASH_OUT,98961.64,C1933891049,0.0,0.0,C1650035157,6574495.84,6673457.48,0.0,0.0
698.0,CASH_OUT,2360965.74,C1859539319,2360965.74,0.0,C599318565,0.0,2360965.74,1.0,0.0
281.0,TRANSFER,7133.97,C157969279,7133.97,0.0,C1713731029,0.0,0.0,1.0,0.0
37.0,CASH_OUT,73522.7,C1267586362,0.0,0.0,C707907519,202428.6,275951.3,0.0,0.0
